Mean_SNR,STD_SNR,Kurtosis_SNR,Skewness_SNR,Class
27.55518395,61.71901588,2.20880796,3.662680136,1
1.358695652,13.07903424,13.31214143,212.59702940000003,1
73.11287625,62.07021971,1.268206006,1.082920221,1
146.5685619,82.39462399,-0.274901598,-1.121848281,1
6.071070234,29.76039993,5.318766827,28.69804799,1
32.91973244,65.09419657,1.6055383490000001,0.871363737,1
34.10117057,62.57739528,1.8900202819999998,2.57213265,1
50.10785953,66.32182537,1.456423391,1.335181593,1
176.11956519999998,59.73772038,-1.7853765780000002,2.940913427,1
183.62290969999998,79.93281529,-1.326647481,0.346712101,1
41.504180600000005,62.89781076,1.472488674,1.305269046,1
19.28010033,56.00214376,2.8754912260000003,6.861891535,1
146.7257525,75.39944935,-0.29078496,-1.2193067359999998,1
16.4590301,47.31947735,3.084529416,8.940259466,1
2.415551839,18.02795281,8.828613361,86.79989428,1
1.627090301,14.68008008,10.99141172,139.5509004,1
70.51254181,65.47230523,1.102049947,0.7820559979999999,1
2.08277592,19.14167399,10.14673318,107.6216551,1
7.983277592,36.657363000000004,4.888889599,23.67535368,1
8.266722408,34.83890201,4.793381771,24.03204757,1
12.97157191,38.49884932,3.799727502,14.99083404,1
93.58695652,89.54225828,0.38388722299999994,-1.31902556,1
15.51505017,48.87242564,3.185366727,9.164035552,1
88.33361204,78.91144803,0.5884619179999999,-0.8072716740000001,1
184.5259197,62.91485857,-1.0192634520000001,0.17696067399999998,1
2.546822742,18.20122515,9.997592919,109.1223064,1
5.2090301,31.04856136,6.075504187000001,36.24292221,1
124.26170570000001,75.63747526,-0.11986995800000001,-0.972970887,1
55.21237458,78.39269585,1.161472115,0.003675747,1
128.0200669,73.431466,-0.124471665,-0.8992324509999999,1
2.169732441,15.91723326,9.750990636000001,112.6339385,1
125.264214,82.36350068,-0.141533847,-1.150789277,1
7.785117057000001,27.56202757,5.014885742,29.18375371,1
97.44565217,76.52752946,0.191543281,-1.020215434,1
3.5409699,26.12980513,7.5785165999999995,57.36771316,1
50.03762542,62.76227449,1.508049573,1.452347975,1
20.37207358,51.02207394,2.94169165,8.457182358999999,1
0.95819398,12.08525698,15.61924689,274.31908070000003,1
23.66053512,55.42796537,2.4519762430000003,5.164108328999999,1
27.80769231,63.85544771,2.179749782,3.354892112,1
87.90468227,86.47995077,0.259049282,-1.5043414730000002,1
30.67056856,67.75205759,1.97295785,2.336556152,1
14.00501672,43.68747295,3.424030632,11.5640852,1
51.10618729,64.88992167,1.338573283,1.060299728,1
5.736622074,32.04731081,5.9796027,36.14797519,1
11.81354515,41.38266061,3.902658237,15.15191981,1
3.741638796,25.31736958,7.23510061,53.58207362,1
11.73578595,39.9579891,3.9823071010000004,16.36454974,1
